client_name,url,message,phone_numbers
Peddleton PD,https://surveys.my90.axon.com/s3/PeddletonPD,"We want to hear about your call to the Peddleton Police Department (BPD) to help evaluate its services. This short survey is administered by My90, an independent 3rd party. All responses are confidential. We appreciate you taking 1 minute to share your feedback. To report an emergency, call 911.",13273472527
,,,16905846108
,,,13667586258
,,,17920635537
,,,12816792312
,,,12334292592
,,,13414947539
,,,12811536477
,,,18371356411
,,,12927672496
,,,18599166074
,,,11148002374
,,,19169413998
,,,10721577410
,,,18145669601
,,,13422503192
,,,12472983213
,,,19098280759
,,,16480467394
,,,15127535659
,,,18959753514
,,,10592289915
,,,12190350333
,,,11162267594
,,,15705852208
